,Film,Year,Rotten Tomatoes' Top 100,Average Rank
0,Parasite,2019,,17
1,Lord of the Rings: The Fellowship of the Ring,2001,,19
2,Avengers: Endgame,2019,,23
3,Spider-Man: Into the Spider-verse,2018,,34
4,The Dark Knight,2008,,37
5,Mad Max: Fury Road,2015,,41
6,Inception,2010,,42
7,Lord of the Rings: Return of the King,2003,,43
8,Lord of the Rings: The Two Towers,2002,,49
9,Interstellar,2014,,55
10,Avengers: Infinity War,2018,,59
11,Gladiator,2000,,60
12,Get Out,2017,,62
13,Moonlight,2016,,63
14,Spirited Away,2001,,64
15,Lady Bird,2017,,65
16,Black Panther,2018,,69
17,Whiplash,2014,,70
18,Mulholland Drive,2001,,76
19,In the Mood for Love,2000,,77
20,A Quiet Place,2018,,78
21,Coco,2017,,80
22,Logan,2017,,86
23,Thor: Ragnarok,2017,,87
24,Eternal Sunshine of the Spotless Mind,2004,,90
25,Arrival,2016,,91
